,date,value,day of week,month,holiday
0,2020-07-01,1524,2,7,0
1,2020-07-02,1522,3,7,0
2,2020-07-03,6573,4,7,0
3,2020-07-04,4821,5,7,0
4,2020-07-05,1590,6,7,0
5,2020-07-06,3063,0,7,0
6,2020-07-07,1232,1,7,0
7,2020-07-08,1313,2,7,0
8,2020-07-09,3680,3,7,0
9,2020-07-10,5790,4,7,0
10,2020-07-11,2053,5,7,0
11,2020-07-12,2472,6,7,0
12,2020-07-13,1812,0,7,0
13,2020-07-14,1429,1,7,0
14,2020-07-15,2184,2,7,0
15,2020-07-16,1461,3,7,0
16,2020-07-17,1191,4,7,0
17,2020-07-18,2136,5,7,0
18,2020-07-19,2264,6,7,0
19,2020-07-20,3597,0,7,0
20,2020-07-21,1686,1,7,0
21,2020-07-22,1999,2,7,0
22,2020-07-23,886,3,7,0
23,2020-07-24,1524,4,7,0
24,2020-07-25,1997,5,7,0
25,2020-07-26,963,6,7,0
26,2020-07-27,2317,0,7,0
27,2020-07-28,1327,1,7,0
28,2020-07-29,1580,2,7,0
29,2020-07-30,1448,3,7,0
30,2020-07-31,5368,4,7,0
31,2020-08-01,3629,5,8,0
32,2020-08-02,3362,6,8,0
33,2020-08-03,1778,0,8,0
34,2020-08-04,4430,1,8,0
35,2020-08-05,5057,2,8,0
36,2020-08-06,6613,3,8,0
37,2020-08-07,2639,4,8,0
38,2020-08-08,2189,5,8,0
39,2020-08-09,3099,6,8,0
40,2020-08-10,7459,0,8,0
41,2020-08-11,2748,1,8,0
42,2020-08-12,1881,2,8,0
43,2020-08-13,2381,3,8,0
44,2020-08-14,1603,4,8,0
45,2020-08-15,2265,5,8,0
46,2020-08-16,1891,6,8,0
47,2020-08-17,2996,0,8,0
48,2020-08-18,2848,1,8,0
49,2020-08-19,2362,2,8,0
50,2020-08-20,3824,3,8,0
51,2020-08-21,4739,4,8,0
52,2020-08-22,5807,5,8,0
53,2020-08-23,5186,6,8,0
54,2020-08-24,2863,0,8,0
55,2020-08-25,2220,1,8,0
56,2020-08-26,1126,2,8,0
57,2020-08-27,3392,3,8,0
58,2020-08-28,3791,4,8,0
59,2020-08-29,9356,5,8,0
60,2020-08-30,11497,6,8,0
61,2020-08-31,11492,0,8,0
62,2020-09-01,5596,1,9,0
63,2020-09-02,6266,2,9,0
64,2020-09-03,2500,3,9,0
65,2020-09-04,6829,4,9,0
66,2020-09-05,6214,5,9,0
67,2020-09-06,2820,6,9,0
68,2020-09-07,8009,0,9,0
69,2020-09-08,1956,1,9,0
70,2020-09-09,5403,2,9,0
71,2020-09-10,3948,3,9,0
72,2020-09-11,11188,4,9,0
73,2020-09-12,3258,5,9,0
74,2020-09-13,3536,6,9,0
75,2020-09-14,4965,0,9,0
76,2020-09-15,3764,1,9,0
77,2020-09-16,9017,2,9,0
78,2020-09-17,6860,3,9,0
79,2020-09-18,7055,4,9,0
80,2020-09-19,10305,5,9,0
81,2020-09-20,7409,6,9,0
82,2020-09-21,8918,0,9,0
83,2020-09-22,1863,1,9,0
84,2020-09-23,10429,2,9,0
85,2020-09-24,4779,3,9,0
86,2020-09-25,9465,4,9,0
87,2020-09-26,1052,5,9,0
88,2020-09-27,3794,6,9,0
89,2020-09-28,5626,0,9,0
90,2020-09-29,3965,1,9,0
91,2020-09-30,12170,2,9,0
92,2020-10-01,1170,3,10,0
93,2020-10-02,3486,4,10,0
94,2020-10-03,21875,5,10,0
95,2020-10-04,3987,6,10,0
96,2020-10-05,4494,0,10,0
97,2020-10-06,6079,1,10,0
98,2020-10-07,5752,2,10,0
99,2020-10-08,6235,3,10,0
100,2020-10-09,5248,4,10,0
101,2020-10-10,4545,5,10,0
102,2020-10-11,2253,6,10,0
103,2020-10-12,6192,0,10,0
104,2020-10-13,2962,1,10,0
105,2020-10-14,5361,2,10,0
106,2020-10-15,4134,3,10,0
107,2020-10-16,3137,4,10,0
108,2020-10-17,3985,5,10,0
109,2020-10-18,3546,6,10,0
110,2020-10-19,649,0,10,0
